epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3073.55,1.39046,2.97539,1.4849,0.53734,0.26782,0.28765,0.13063,1.9836,2.84831,1.87621,0.000235098,0.000235098,0.000235098
2,6838.09,1.29459,1.86799,1.44325,0.56318,0.43204,0.44725,0.20577,1.81411,2.24966,1.77804,0.000457485,0.000457485,0.000457485
3,10781.1,1.24501,1.66488,1.4089,0.5377,0.41895,0.41082,0.18994,1.94208,2.33506,1.89905,0.000664165,0.000664165,0.000664165
4,15011.9,1.22368,1.56102,1.38548,0.57897,0.43266,0.45668,0.20542,1.93044,2.12154,1.93403,0.000643314,0.000643314,0.000643314
5,19446,1.19671,1.47884,1.35603,0.58539,0.50418,0.50426,0.23971,1.87175,1.94284,1.8704,0.000619752,0.000619752,0.000619752
6,23867,1.17961,1.42255,1.34133,0.66656,0.46345,0.51146,0.20776,2.01727,1.97429,2.03867,0.00059619,0.00059619,0.00059619
7,28118.8,1.14494,1.36353,1.32595,0.7375,0.51972,0.58937,0.28049,1.80603,1.71399,1.77124,0.000572628,0.000572628,0.000572628
8,31936.8,1.13469,1.30875,1.30465,0.71953,0.53261,0.58826,0.26954,1.84577,1.69514,1.80011,0.000549066,0.000549066,0.000549066
9,35932.9,1.11532,1.27743,1.29806,0.74482,0.52736,0.59239,0.29648,1.76021,1.7962,1.73023,0.000525504,0.000525504,0.000525504
10,39850.4,1.09844,1.23421,1.27771,0.74365,0.56038,0.60887,0.30925,1.72613,1.56929,1.70086,0.000501942,0.000501942,0.000501942
11,44363.3,1.0858,1.18517,1.26658,0.70683,0.60595,0.65306,0.3079,1.75674,1.52655,1.70857,0.00047838,0.00047838,0.00047838
12,48989.6,1.06986,1.16238,1.25969,0.75388,0.58376,0.64534,0.33,1.75106,1.43818,1.70778,0.000454818,0.000454818,0.000454818
13,53614.1,1.05846,1.13899,1.24952,0.76735,0.58409,0.63403,0.33748,1.67558,1.47371,1.67664,0.000431256,0.000431256,0.000431256
14,58419.4,1.05407,1.109,1.24247,0.81452,0.58646,0.67514,0.35093,1.64929,1.35882,1.63853,0.000407694,0.000407694,0.000407694
15,63168.7,1.03159,1.08473,1.23152,0.78498,0.62305,0.6876,0.36215,1.65173,1.30923,1.63538,0.000384132,0.000384132,0.000384132
16,67998.7,1.02263,1.05385,1.21842,0.78132,0.61926,0.66886,0.35147,1.67655,1.3002,1.63982,0.00036057,0.00036057,0.00036057
17,72874.3,1.01297,1.02938,1.20952,0.79489,0.64565,0.68929,0.358,1.62637,1.25047,1.63442,0.000337008,0.000337008,0.000337008
18,77506.2,1.00396,1.01411,1.21283,0.81127,0.65103,0.70818,0.35838,1.73333,1.24756,1.70037,0.000313446,0.000313446,0.000313446
19,82269.9,0.99623,0.99163,1.20218,0.79859,0.6255,0.68404,0.38578,1.55197,1.21403,1.56057,0.000289884,0.000289884,0.000289884
20,86973.9,0.97656,0.97362,1.19497,0.78099,0.64313,0.68874,0.34969,1.74382,1.2583,1.73008,0.000266322,0.000266322,0.000266322
21,91182.8,1.00454,0.91989,1.20758,0.82074,0.64019,0.69806,0.38469,1.57354,1.23763,1.58551,0.00024276,0.00024276,0.00024276
22,95600.2,0.98923,0.87422,1.19817,0.80678,0.63536,0.69364,0.39155,1.53928,1.18356,1.54315,0.000219198,0.000219198,0.000219198
23,99999.8,0.96983,0.85209,1.18635,0.82184,0.66599,0.72584,0.4271,1.50517,1.09872,1.5262,0.000195636,0.000195636,0.000195636
24,104501,0.95776,0.83327,1.17951,0.85252,0.65957,0.72976,0.4019,1.56361,1.12754,1.55177,0.000172074,0.000172074,0.000172074
25,109101,0.93989,0.80925,1.16679,0.84467,0.68358,0.73392,0.41914,1.51288,1.06279,1.52088,0.000148512,0.000148512,0.000148512
26,113689,0.9343,0.79511,1.15651,0.8424,0.67597,0.73451,0.43138,1.46158,1.04303,1.4844,0.00012495,0.00012495,0.00012495
27,118293,0.91983,0.77776,1.15208,0.85489,0.68655,0.74599,0.43778,1.44163,1.03458,1.46592,0.000101388,0.000101388,0.000101388
28,122901,0.91061,0.76537,1.14443,0.86626,0.68132,0.75259,0.43868,1.47167,1.01763,1.50153,7.7826e-05,7.7826e-05,7.7826e-05
29,127501,0.89683,0.75098,1.13758,0.84045,0.68994,0.75552,0.44275,1.44744,1.01191,1.4703,5.4264e-05,5.4264e-05,5.4264e-05
30,132046,0.89099,0.73728,1.13065,0.85199,0.68681,0.7505,0.44907,1.42321,0.99739,1.46284,3.0702e-05,3.0702e-05,3.0702e-05
